iter	Passed	Remaining
401	16238	3958
402	16278	3918
403	16319	3877
404	16358	3837
405	16397	3796
406	16436	3755
407	16476	3715
408	16516	3674
409	16555	3634
410	16594	3593
411	16634	3552
412	16674	3512
413	16716	3472
414	16758	3432
415	16799	3392
416	16841	3352
417	16881	3311
418	16920	3271
419	16959	3230
420	17000	3190
421	17041	3149
422	17080	3109
423	17120	3068
424	17159	3028
425	17199	2987
426	17240	2947
427	17279	2906
428	17321	2866
429	17361	2826
430	17403	2786
431	17446	2746
432	17488	2706
433	17528	2665
434	17567	2625
435	17609	2584
436	17648	2544
437	17687	2503
438	17727	2463
439	17767	2422
440	17807	2382
441	17847	2341
442	17887	2301
443	17927	2261
444	17968	2220
445	18008	2180
446	18048	2139
447	18086	2099
448	18125	2058
449	18164	2018
450	18205	1978
451	18245	1937
452	18284	1897
453	18323	1856
454	18363	1816
455	18405	1775
456	18443	1735
457	18483	1694
458	18523	1654
459	18563	1614
460	18603	1573
461	18642	1533
462	18685	1493
463	18729	1453
464	18771	1412
465	18814	1372
466	18855	1332
467	18896	1292
468	18935	1251
469	18974	1211
470	19014	1170
471	19054	1130
472	19092	1089
473	19131	1049
474	19172	1009
475	19212	968
476	19253	928
477	19292	887
478	19332	847
479	19372	807
480	19413	766
481	19453	726
482	19496	686
483	19535	645
484	19576	605
485	19618	565
486	19660	524
487	19699	484
488	19739	444
489	19779	403
490	19819	363
491	19860	322
492	19900	282
493	19940	242
494	19982	201
495	20024	161
496	20064	121
497	20106	80
498	20145	40
499	20186	0
