iter	MultiClass
0	1.041982974
1	1.001166711
2	0.9734369648
3	0.951850325
4	0.9306648418
5	0.9130016808
6	0.9003630514
7	0.8897551515
8	0.879658404
9	0.8719087249
10	0.8650729884
11	0.8573391416
12	0.8498853634
13	0.8453603596
14	0.8405042981
15	0.8365581565
16	0.8306437725
17	0.8257726424
18	0.8221656386
19	0.819152863
20	0.8163806127
21	0.8121803441
22	0.8097004914
23	0.805217672
24	0.8020936503
25	0.8002093744
26	0.7977448909
27	0.7955428802
28	0.7929855101
29	0.7915152165
30	0.7894294988
31	0.7871641735
32	0.7858219825
33	0.7831444935
34	0.7806424475
35	0.7787348261
36	0.7774703102
37	0.7762343662
38	0.7742085544
39	0.7702724491
40	0.7688027934
41	0.766881259
42	0.7649059516
43	0.76393447
44	0.7618487333
45	0.7602239382
46	0.7581237638
47	0.7555025946
48	0.753961739
49	0.7524510763
50	0.7509309484
51	0.7474689374
52	0.7446638821
53	0.7439346574
54	0.7423136782
55	0.7404905655
56	0.738652392
57	0.7370396497
58	0.7362889185
59	0.7350209352
60	0.7336753482
61	0.7317034059
62	0.7297548409
63	0.7275726336
64	0.7262062655
65	0.7248505621
66	0.7227631496
67	0.721055158
68	0.7196649935
69	0.717819354
70	0.7158129171
71	0.7145162032
72	0.7128813946
73	0.7117536242
74	0.7108631566
75	0.7092507307
76	0.7073112978
77	0.7061393026
78	0.7049390981
79	0.7027575858
80	0.701006884
81	0.6980480737
82	0.697009394
83	0.6953813977
84	0.6944218202
85	0.693041561
86	0.6916478781
87	0.6905600652
88	0.6893562582
89	0.6882624929
90	0.6874939997
91	0.6851084387
92	0.6832301244
93	0.6825260998
94	0.6814188446
95	0.6804103623
96	0.6793213634
97	0.6775161865
98	0.6756906978
99	0.6746957771
100	0.6740868627
101	0.6725194077
102	0.6716411506
103	0.6702433718
104	0.6689013333
105	0.6670995579
106	0.6661021775
107	0.6653021295
108	0.6644899081
109	0.663189133
110	0.6620781692
111	0.6612907142
112	0.660017347
113	0.6592669195
114	0.6583038481
115	0.6574956535
116	0.6567184628
117	0.6560340888
118	0.6547722705
119	0.6539588979
120	0.652891685
121	0.65216494
122	0.6514217787
123	0.6501895165
124	0.6494254192
125	0.6485964628
126	0.6479895344
127	0.6472976345
128	0.6457343584
129	0.6450866336
130	0.6444377021
131	0.6432848982
132	0.642537403
133	0.6420120375
134	0.6412010528
135	0.6404203084
136	0.6400881742
137	0.6392388813
138	0.6379294961
139	0.6374211677
140	0.6368406656
141	0.6363128667
142	0.635677407
143	0.6349338592
144	0.6339687455
145	0.6333312252
146	0.6325724154
147	0.631428217
148	0.6309984317
149	0.6303665337
150	0.6298763052
151	0.6282056229
152	0.6273716774
153	0.6267386189
154	0.6262087151
155	0.6254077671
156	0.6246941929
157	0.6237126672
158	0.6230704123
159	0.622043434
160	0.6212136528
161	0.6208310379
162	0.6201787635
163	0.6194202563
164	0.6190302598
165	0.6187019052
166	0.6182534957
167	0.6177897749
168	0.6172272753
169	0.6167183407
170	0.6158936902
171	0.614806479
172	0.614366814
173	0.6137184158
174	0.611594759
175	0.6110189838
176	0.6106014912
177	0.61024682
178	0.6097414921
179	0.609343767
180	0.6088242209
181	0.6075303772
182	0.607171424
183	0.6066205909
184	0.6059706449
185	0.6055175677
186	0.6048295644
187	0.6043912758
188	0.6032872008
189	0.6026169168
190	0.6022306599
191	0.6014556557
192	0.6011608359
193	0.6004740447
194	0.6000753291
195	0.5996496953
196	0.5990867288
197	0.5986563044
198	0.5981917456
199	0.5962665421
200	0.5957324855
201	0.5946333864
202	0.5936262346
203	0.5927366121
204	0.5923288317
205	0.5918076114
206	0.5914264623
207	0.5904460471
208	0.5901259798
209	0.589450355
210	0.5890566949
211	0.588187534
212	0.5877939125
213	0.5875825761
214	0.5870912019
215	0.5867654532
216	0.5860170485
217	0.5855066176
218	0.5847265163
219	0.5842443841
220	0.5836983805
221	0.5832942746
222	0.5825021729
223	0.5822408749
224	0.581705702
225	0.5808629074
226	0.5804328196
227	0.5800298067
228	0.5794915365
229	0.578446757
230	0.5777447483
231	0.5772536179
232	0.5769043918
233	0.5765669536
234	0.5761399766
235	0.5756079106
236	0.575353705
237	0.5747575101
238	0.5742002737
239	0.5739072485
240	0.5735898331
241	0.5730915163
242	0.5727226407
243	0.5723315677
244	0.5719910479
245	0.5715779208
246	0.5713528467
247	0.5706441178
248	0.5699629527
249	0.5695723705
250	0.568755922
251	0.5682513243
252	0.5678817621
253	0.5675675612
254	0.56690354
255	0.566422489
256	0.5659642069
257	0.5656844715
258	0.5653240417
259	0.5648895527
260	0.5644518361
261	0.5641005701
262	0.5638413356
263	0.5634995775
264	0.5632692732
265	0.5628256324
266	0.5625636864
267	0.5621743338
268	0.5618062401
269	0.5614658434
270	0.5608023726
271	0.5603415342
272	0.5597956284
273	0.559471643
274	0.5591942493
275	0.5589060038
276	0.5586072914
277	0.5581197066
278	0.5575779214
279	0.5571206328
280	0.5567240633
281	0.5564355696
282	0.5560819203
283	0.555728471
284	0.5550060627
285	0.5546645352
286	0.554250254
287	0.553656482
288	0.5533156242
289	0.5530361945
290	0.5526646488
291	0.5523826812
292	0.5520785101
293	0.5517712545
294	0.551441977
295	0.5511341125
296	0.5501761603
297	0.5498924277
298	0.5496200296
299	0.5491865631
300	0.548837537
301	0.5481205053
302	0.5477083537
303	0.5473992917
304	0.5470761251
305	0.5466307204
306	0.5463968137
307	0.5460414891
308	0.5457181565
309	0.5454680986
310	0.5451469448
311	0.544839752
312	0.5440884108
313	0.5437836724
314	0.5435698139
315	0.543283793
316	0.5429178075
317	0.542359432
318	0.5408283125
319	0.5404968224
320	0.5398627362
321	0.5395967314
322	0.5392895481
323	0.5389441822
324	0.5384085109
325	0.5380720216
326	0.5376987305
327	0.5372975403
328	0.5370459205
329	0.5367036099
330	0.5364329584
331	0.5360209828
332	0.5357843361
333	0.5354816301
334	0.5344993222
335	0.5341156942
336	0.533920435
337	0.5329806094
338	0.5327203447
339	0.531876828
340	0.5311990907
341	0.53098872
342	0.5306867061
343	0.5304266847
344	0.5299487971
345	0.5285335063
